                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.97915,                0.82925,                 1.4178,                0.92539,                0.83507,                0.93165,                0.65575,                 1.0393,                0.68369,                    1.6,              0.0013268,              0.0013268,              0.0013268
                     36,                0.98015,                0.83749,                 1.4212,                0.88473,                0.83581,                0.92103,                0.64665,                 1.0305,                0.71411,                 1.5918,               0.001307,               0.001307,               0.001307
                     37,                0.97856,                0.81041,                 1.4051,                0.87312,                0.83335,                0.91449,                0.65554,                0.98502,                0.70706,                 1.5583,              0.0012872,              0.0012872,              0.0012872
                     38,                0.94566,                0.79256,                 1.3909,                 0.9159,                0.87147,                0.95066,                 0.6979,                0.95113,                0.66121,                 1.5123,              0.0012674,              0.0012674,              0.0012674
                     39,                0.96926,                0.79929,                 1.4007,                 0.8711,                0.85852,                0.93023,                0.66564,                   1.01,                0.71385,                  1.561,              0.0012476,              0.0012476,              0.0012476
                     40,                0.96786,                0.80405,                 1.3912,                0.89877,                0.86256,                0.93903,                0.68853,                 0.9484,                0.63539,                 1.5127,              0.0012278,              0.0012278,              0.0012278
                     41,                0.94483,                0.79675,                 1.3967,                0.91663,                0.86582,                0.94855,                0.69289,                0.94734,                0.64772,                 1.4995,               0.001208,               0.001208,               0.001208
                     42,                 0.9529,                0.78955,                 1.3901,                0.90931,                0.85736,                0.94473,                0.70873,                0.92178,                0.62447,                 1.4819,              0.0011882,              0.0011882,              0.0011882
                     43,                  0.925,                0.76372,                 1.3822,                0.91268,                0.87747,                0.94644,                0.71678,                0.89446,                0.63122,                 1.4399,              0.0011684,              0.0011684,              0.0011684
                     44,                0.92232,                0.76715,                 1.3665,                0.88821,                0.87953,                0.94639,                0.69385,                0.96428,                0.65659,                  1.509,              0.0011486,              0.0011486,              0.0011486
                     45,                0.93416,                0.74646,                 1.3815,                0.90653,                 0.8737,                 0.9494,                0.71267,                0.91462,                0.63176,                 1.4624,              0.0011288,              0.0011288,              0.0011288
                     46,                0.91447,                 0.7518,                 1.3563,                0.92383,                0.85601,                0.95301,                0.71566,                0.89336,                0.60012,                 1.4344,               0.001109,               0.001109,               0.001109
                     47,                0.91117,                0.73517,                 1.3606,                0.92484,                0.87296,                0.95372,                0.72705,                0.87591,                0.59393,                 1.4256,              0.0010892,              0.0010892,              0.0010892
                     48,                0.88366,                0.72112,                 1.3466,                0.92394,                 0.8841,                 0.9594,                0.74156,                 0.8754,                0.58648,                 1.4084,              0.0010694,              0.0010694,              0.0010694
                     49,                0.92382,                0.74799,                 1.3787,                  0.914,                0.88484,                0.95622,                0.73087,                0.89436,                0.58504,                 1.4344,              0.0010496,              0.0010496,              0.0010496
                     50,                0.90762,                0.73683,                 1.3588,                0.91057,                0.87593,                0.95085,                0.72401,                0.87659,                0.61776,                  1.412,              0.0010298,              0.0010298,              0.0010298
                     51,                0.89385,                0.72043,                 1.3464,                0.90503,                0.91328,                 0.9637,                0.74368,                0.85412,                0.55186,                 1.4002,                0.00101,                0.00101,                0.00101
                     52,                0.87933,                 0.7045,                 1.3377,                 0.9263,                 0.8893,                0.96131,                0.75168,                0.82684,                0.55783,                 1.3729,              0.0009902,              0.0009902,              0.0009902
                     53,                0.87577,                0.70372,                 1.3285,                0.93174,                0.89245,                0.96489,                0.75392,                0.82582,                0.55071,                 1.3724,              0.0009704,              0.0009704,              0.0009704
                     54,                0.87868,                0.72024,                 1.3409,                0.92558,                0.89599,                0.96071,                0.74558,                0.84423,                0.57325,                 1.3887,              0.0009506,              0.0009506,              0.0009506
                     55,                0.85688,                0.68783,                 1.3151,                0.92255,                0.89379,                0.96575,                0.75808,                0.81387,                0.53409,                 1.3583,              0.0009308,              0.0009308,              0.0009308
                     56,                0.86915,                0.69478,                 1.3359,                0.92581,                 0.8997,                0.96563,                0.74431,                  0.853,                0.56117,                 1.3894,               0.000911,               0.000911,               0.000911
                     57,                0.86758,                0.69883,                 1.3257,                0.94085,                0.91308,                0.97117,                0.76238,                0.81888,                0.53711,                 1.3556,              0.0008912,              0.0008912,              0.0008912
                     58,                0.84133,                0.66809,                 1.3019,                0.93926,                0.89616,                0.97125,                0.76205,                0.82482,                0.53475,                 1.3551,              0.0008714,              0.0008714,              0.0008714
                     59,                0.86193,                 0.6639,                 1.3163,                0.93872,                0.90936,                0.97211,                0.77962,                0.78176,                0.50217,                 1.3267,              0.0008516,              0.0008516,              0.0008516
                     60,                0.84947,                0.67404,                 1.3126,                0.95223,                0.89227,                0.96996,                 0.7654,                0.79625,                0.52344,                 1.3304,              0.0008318,              0.0008318,              0.0008318
                     61,                0.82948,                0.67162,                 1.2991,                0.93935,                0.91159,                0.96988,                0.76707,                0.79852,                0.52602,                 1.3371,               0.000812,               0.000812,               0.000812
                     62,                0.83604,                0.67702,                 1.2983,                 0.9195,                0.92501,                0.97135,                0.78229,                0.77397,                0.50393,                 1.3101,              0.0007922,              0.0007922,              0.0007922
                     63,                0.82481,                0.67021,                 1.2917,                0.94447,                0.91605,                0.97632,                0.78095,                0.77062,                0.49052,                 1.3065,              0.0007724,              0.0007724,              0.0007724
                     64,                0.82624,                0.65932,                 1.2978,                0.95725,                0.92719,                0.98075,                0.78699,                0.76643,                0.48089,                 1.2911,              0.0007526,              0.0007526,              0.0007526
                     65,                0.81742,                0.64619,                 1.2862,                0.93207,                 0.9277,                0.97403,                 0.7835,                0.77081,                0.49196,                 1.3108,              0.0007328,              0.0007328,              0.0007328
                     66,                0.81579,                0.64377,                 1.2945,                0.94448,                0.92719,                 0.9789,                0.79165,                0.74488,                0.47858,                 1.2863,               0.000713,               0.000713,               0.000713
                     67,                0.80185,                0.62962,                  1.283,                0.95343,                0.92785,                0.98205,                0.79658,                0.76326,                0.46833,                 1.2858,              0.0006932,              0.0006932,              0.0006932
                     68,                0.82155,                0.62939,                 1.2906,                0.96125,                0.92148,                0.98048,                0.79896,                0.73096,                0.45495,                 1.2663,              0.0006734,              0.0006734,              0.0006734
                     69,                0.80909,                0.64459,                 1.2868,                0.95212,                0.92496,                0.98231,                0.80539,                0.71107,                 0.4433,                 1.2463,              0.0006536,              0.0006536,              0.0006536
                     70,                0.80423,                0.62989,                 1.2816,                0.95503,                0.93834,                0.98102,                0.81001,                0.70771,                0.44458,                 1.2418,              0.0006338,              0.0006338,              0.0006338
                     71,                0.81208,                0.62983,                   1.28,                0.92488,                0.94215,                0.97975,                0.80745,                0.69466,                 0.4515,                 1.2266,               0.000614,               0.000614,               0.000614
                     72,                0.77096,                 0.6076,                 1.2488,                0.96172,                0.93611,                0.98609,                0.81638,                0.69341,                0.42918,                 1.2272,              0.0005942,              0.0005942,              0.0005942
                     73,                0.80989,                0.62692,                 1.2809,                0.95649,                0.93611,                0.98508,                0.81447,                0.69352,                0.42483,                 1.2304,              0.0005744,              0.0005744,              0.0005744
                     74,                0.79453,                0.62031,                 1.2678,                0.95003,                0.93227,                0.98259,                0.82374,                 0.6763,                0.42716,                 1.2093,              0.0005546,              0.0005546,              0.0005546
                     75,                0.79177,                0.61448,                 1.2713,                0.96021,                0.93908,                0.98577,                0.82662,                0.67497,                0.42195,                 1.2183,              0.0005348,              0.0005348,              0.0005348
                     76,                0.75805,                0.57996,                 1.2473,                0.95546,                0.94279,                0.98615,                0.82943,                0.66563,                0.40928,                 1.1962,               0.000515,               0.000515,               0.000515
                     77,                0.75729,                0.58313,                 1.2642,                 0.9617,                0.93685,                0.98629,                0.83038,                0.67269,                0.41475,                 1.2059,              0.0004952,              0.0004952,              0.0004952
                     78,                0.75089,                0.58822,                 1.2435,                0.96272,                0.94007,                0.98729,                0.83289,                0.65074,                0.40899,                 1.1926,              0.0004754,              0.0004754,              0.0004754
                     79,                 0.7578,                0.58738,                 1.2479,                0.96368,                 0.9463,                0.98703,                0.84088,                0.64167,                0.39682,                 1.1761,              0.0004556,              0.0004556,              0.0004556
                     80,                0.74712,                 0.5936,                   1.25,                0.96071,                0.94474,                0.98669,                0.83855,                0.63513,                0.40447,                 1.1723,              0.0004358,              0.0004358,              0.0004358
